[2025-08-23 21:41:59] Marseille vs Paris - C Values: {"T1_C": 1.19, "T2_C": 6.25, "T3_C": 18, "T4_C": 1.025, "T5_C": 1.14, "T6_C": 4.62, "T7_C": 2.07, "T8_C": 1.752, "T9_C": 2.175, "T10_C": 1.685, "T11_C": 2.29, "T12_C": 1.625, "T13_C": 2.256, "T14_C": 1.64}
[2025-08-23 21:42:12] Marseille vs Paris - C Values: {"T1_C": 1.19, "T2_C": 6.25, "T3_C": 18, "T4_C": 1.025, "T5_C": 1.14, "T6_C": 4.62, "T7_C": 2.07, "T8_C": 1.752, "T9_C": 2.175, "T10_C": 1.685, "T11_C": 2.29, "T12_C": 1.625, "T13_C": 2.2, "T14_C": 1.67}
[2025-08-23 21:42:19] Marseille vs Paris - C Values: {"T1_C": 1.19, "T2_C": 6.05, "T3_C": 20, "T4_C": 1.02, "T5_C": 1.144, "T6_C": 4.62, "T7_C": 2.07, "T8_C": 1.752, "T9_C": 2.175, "T10_C": 1.685, "T11_C": 1.56, "T12_C": 2.43, "T13_C": 2.2, "T14_C": 1.67}
[2025-08-23 21:42:27] Marseille vs Paris - C Values: {"T1_C": 1.19, "T2_C": 6.1, "T3_C": 19, "T4_C": 1.02, "T5_C": 1.144, "T6_C": 4.62, "T7_C": 2.115, "T8_C": 1.725, "T9_C": 2.175, "T10_C": 1.685, "T11_C": 1.56, "T12_C": 2.43, "T13_C": 2.2, "T14_C": 1.67}
[2025-08-23 21:42:53] Marseille vs Paris - C Values: {"T1_C": 1.19, "T2_C": 5.95, "T3_C": 21, "T4_C": 1.016, "T5_C": 1.15, "T6_C": 4.63, "T7_C": 2.115, "T8_C": 1.725, "T9_C": 2.175, "T10_C": 1.685, "T11_C": 1.56, "T12_C": 2.43, "T13_C": 2.2, "T14_C": 1.67}
[2025-08-23 21:43:12] Marseille vs Paris - C Values: {"T1_C": 1.19, "T2_C": 6.1, "T3_C": 19, "T4_C": 1.02, "T5_C": 1.144, "T6_C": 4.62, "T7_C": 2.115, "T8_C": 1.725, "T9_C": 2.175, "T10_C": 1.685, "T11_C": 1.56, "T12_C": 2.43, "T13_C": 2.2, "T14_C": 1.67}
[2025-08-23 21:43:31] Marseille vs Paris - C Values: {"T1_C": 1.19, "T2_C": 6.1, "T3_C": 19, "T4_C": 1.02, "T5_C": 1.144, "T6_C": 4.62, "T7_C": 2.16, "T8_C": 1.696, "T9_C": 2.28, "T10_C": 1.625, "T11_C": 1.56, "T12_C": 2.43, "T13_C": 2.2, "T14_C": 1.67}
[2025-08-23 21:43:49] Marseille vs Paris - C Values: {"T1_C": 1.215, "T2_C": 5.7, "T3_C": 18, "T4_C": 1.025, "T5_C": 1.16, "T6_C": 4.3, "T7_C": 2.16, "T8_C": 1.696, "T9_C": 2.28, "T10_C": 1.625, "T11_C": 1.59, "T12_C": 2.36, "T13_C": 2.2, "T14_C": 1.67}
[2025-08-23 21:43:56] Marseille vs Paris - C Values: {"T1_C": 1.215, "T2_C": 5.7, "T3_C": 18, "T4_C": 1.025, "T5_C": 1.16, "T6_C": 4.3, "T7_C": 2.16, "T8_C": 1.696, "T9_C": 2.26, "T10_C": 1.64, "T11_C": 1.59, "T12_C": 2.36, "T13_C": 2.2, "T14_C": 1.67}
[2025-08-23 21:44:02] Marseille vs Paris - C Values: {"T1_C": 1.19, "T2_C": 6.1, "T3_C": 19, "T4_C": 1.02, "T5_C": 1.144, "T6_C": 4.62, "T7_C": 2.16, "T8_C": 1.696, "T9_C": 2.26, "T10_C": 1.64, "T11_C": 1.59, "T12_C": 2.36, "T13_C": 2.2, "T14_C": 1.67}
[2025-08-23 21:44:21] Marseille vs Paris - C Values: {"T1_C": 1.19, "T2_C": 5.95, "T3_C": 21, "T4_C": 1.016, "T5_C": 1.15, "T6_C": 4.63, "T7_C": 2.16, "T8_C": 1.696, "T9_C": 2.26, "T10_C": 1.64, "T11_C": 1.59, "T12_C": 2.36, "T13_C": 2.2, "T14_C": 1.67}
[2025-08-23 21:44:34] Marseille vs Paris - C Values: {"T1_C": 1.19, "T2_C": 6.1, "T3_C": 19, "T4_C": 1.02, "T5_C": 1.144, "T6_C": 4.62, "T7_C": 2.16, "T8_C": 1.696, "T9_C": 2.26, "T10_C": 1.64, "T11_C": 1.59, "T12_C": 2.36, "T13_C": 2.2, "T14_C": 1.67}
[2025-08-23 21:44:41] Marseille vs Paris - C Values: {"T1_C": 1.19, "T2_C": 6.05, "T3_C": 20, "T4_C": 1.02, "T5_C": 1.144, "T6_C": 4.62, "T7_C": 2.115, "T8_C": 1.725, "T9_C": 2.26, "T10_C": 1.64, "T11_C": 1.56, "T12_C": 2.43, "T13_C": 2.2, "T14_C": 1.67}
[2025-08-23 21:45:36] Marseille vs Paris - C Values: {"T1_C": 1.19, "T2_C": 5.95, "T3_C": 21, "T4_C": 1.016, "T5_C": 1.15, "T6_C": 4.63, "T7_C": 2.16, "T8_C": 1.696, "T9_C": 2.36, "T10_C": 1.59, "T11_C": 1.59, "T12_C": 2.36, "T13_C": 2.2, "T14_C": 1.67}
[2025-08-23 21:45:43] Marseille vs Paris - C Values: {"T1_C": 1.19, "T2_C": 5.95, "T3_C": 21, "T4_C": 1.016, "T5_C": 1.15, "T6_C": 4.63, "T7_C": 2.21, "T8_C": 1.664, "T9_C": 2.304, "T10_C": 1.616, "T11_C": 1.59, "T12_C": 2.36, "T13_C": 2.305, "T14_C": 1.616}
[2025-08-23 21:45:50] Marseille vs Paris - C Values: {"T1_C": 1.19, "T2_C": 5.95, "T3_C": 21, "T4_C": 1.016, "T5_C": 1.15, "T6_C": 4.63, "T7_C": 2.21, "T8_C": 1.664, "T9_C": 2.304, "T10_C": 1.616, "T11_C": 1.64, "T12_C": 2.26, "T13_C": 2.305, "T14_C": 1.616}
[2025-08-23 21:46:13] Marseille vs Paris - C Values: {"T1_C": 1.17, "T2_C": 6.35, "T3_C": 23, "T4_C": 1.015, "T5_C": 1.136, "T6_C": 4.94, "T7_C": 2.16, "T8_C": 1.696, "T9_C": 1.605, "T10_C": 2.33, "T11_C": 1.64, "T12_C": 2.26, "T13_C": 2.41, "T14_C": 1.568}
[2025-08-23 21:46:47] Marseille vs Paris - C Values: {"T1_C": 1.19, "T2_C": 5.95, "T3_C": 21, "T4_C": 1.016, "T5_C": 1.15, "T6_C": 4.63, "T7_C": 2.21, "T8_C": 1.664, "T9_C": 1.605, "T10_C": 2.33, "T11_C": 1.64, "T12_C": 2.26, "T13_C": 2.41, "T14_C": 1.568}
[2025-08-23 21:47:10] Marseille vs Paris - C Values: {"T1_C": 1.17, "T2_C": 6.35, "T3_C": 23, "T4_C": 1.015, "T5_C": 1.136, "T6_C": 4.94, "T7_C": 2.21, "T8_C": 1.664, "T9_C": 1.63, "T10_C": 2.28, "T11_C": 1.64, "T12_C": 2.26, "T13_C": 2.41, "T14_C": 1.568}
[2025-08-23 21:47:43] Marseille vs Paris - C Values: {"T1_C": 1.17, "T2_C": 6.35, "T3_C": 23, "T4_C": 1.015, "T5_C": 1.136, "T6_C": 4.94, "T7_C": 2.21, "T8_C": 1.664, "T9_C": 1.656, "T10_C": 2.23, "T11_C": 1.64, "T12_C": 2.26, "T13_C": 2.41, "T14_C": 1.568}
[2025-08-23 21:48:09] Marseille vs Paris - C Values: {"T1_C": 1.19, "T2_C": 5.85, "T3_C": 23, "T4_C": 1.015, "T5_C": 1.152, "T6_C": 4.62, "T7_C": 2.26, "T8_C": 1.64, "T9_C": 1.656, "T10_C": 2.23, "T11_C": 1.64, "T12_C": 2.26, "T13_C": 2.41, "T14_C": 1.568}
[2025-08-23 21:48:14] Marseille vs Paris - C Values: {"T1_C": 1.19, "T2_C": 5.85, "T3_C": 23, "T4_C": 1.015, "T5_C": 1.152, "T6_C": 4.62, "T7_C": 2.26, "T8_C": 1.64, "T9_C": 1.67, "T10_C": 2.205, "T11_C": 1.696, "T12_C": 2.16, "T13_C": 2.41, "T14_C": 1.568}
[2025-08-23 21:48:39] Marseille vs Paris - C Values: {"T1_C": 1.17, "T2_C": 6.25, "T3_C": 25, "T4_C": 1.01, "T5_C": 1.14, "T6_C": 4.94, "T7_C": 2.26, "T8_C": 1.64, "T9_C": 1.67, "T10_C": 2.205, "T11_C": 1.696, "T12_C": 2.16, "T13_C": 2.41, "T14_C": 1.568}
[2025-08-23 21:48:59] Marseille vs Paris - C Values: {"T1_C": 1.17, "T2_C": 6.35, "T3_C": 23, "T4_C": 1.015, "T5_C": 1.136, "T6_C": 4.94, "T7_C": 2.26, "T8_C": 1.64, "T9_C": 1.72, "T10_C": 2.12, "T11_C": 1.696, "T12_C": 2.16, "T13_C": 2.55, "T14_C": 1.512}
[2025-08-23 21:49:06] Marseille vs Paris - C Values: {"T1_C": 1.17, "T2_C": 6.25, "T3_C": 25, "T4_C": 1.01, "T5_C": 1.14, "T6_C": 4.94, "T7_C": 2.31, "T8_C": 1.615, "T9_C": 1.72, "T10_C": 2.12, "T11_C": 1.696, "T12_C": 2.16, "T13_C": 2.55, "T14_C": 1.512}
[2025-08-23 21:49:19] Marseille vs Paris - C Values: {"T1_C": 2.085, "T2_C": 2.4, "T3_C": 6.35, "T4_C": 1.136, "T5_C": 1.59, "T6_C": 1.76, "T7_C": 1.285, "T8_C": 3.64, "T9_C": 1.685, "T10_C": 2.175, "T11_C": 1.64, "T12_C": 2.26, "T13_C": 2.68, "T14_C": 1.47}
[2025-08-23 21:49:38] Marseille vs Paris - C Values: {"T1_C": 2.225, "T2_C": 2.32, "T3_C": 5.8, "T4_C": 1.155, "T5_C": 1.625, "T6_C": 1.675, "T7_C": 1.336, "T8_C": 3.28, "T9_C": 1.736, "T10_C": 2.1, "T11_C": 1.696, "T12_C": 2.16, "T13_C": 2.68, "T14_C": 1.47}
[2025-08-23 21:49:49] Marseille vs Paris - C Values: {"T1_C": 2.225, "T2_C": 2.32, "T3_C": 5.8, "T4_C": 1.155, "T5_C": 1.625, "T6_C": 1.675, "T7_C": 1.336, "T8_C": 3.28, "T9_C": 1.752, "T10_C": 2.075, "T11_C": 1.696, "T12_C": 2.16, "T13_C": 2.68, "T14_C": 1.47}
[2025-08-23 21:49:56] Marseille vs Paris - C Values: {"T1_C": 2.225, "T2_C": 2.32, "T3_C": 5.8, "T4_C": 1.155, "T5_C": 1.625, "T6_C": 1.675, "T7_C": 1.31, "T8_C": 3.44, "T9_C": 1.752, "T10_C": 2.075, "T11_C": 1.696, "T12_C": 2.16, "T13_C": 2.68, "T14_C": 1.47}
[2025-08-23 21:50:02] Marseille vs Paris - C Values: {"T1_C": 2.192, "T2_C": 2.34, "T3_C": 5.85, "T4_C": 1.152, "T5_C": 1.616, "T6_C": 1.69, "T7_C": 1.336, "T8_C": 3.28, "T9_C": 1.72, "T10_C": 2.12, "T11_C": 1.64, "T12_C": 2.26, "T13_C": 2.68, "T14_C": 1.47}
[2025-08-23 21:50:08] Marseille vs Paris - C Values: {"T1_C": 2.192, "T2_C": 2.34, "T3_C": 5.85, "T4_C": 1.152, "T5_C": 1.616, "T6_C": 1.69, "T7_C": 1.336, "T8_C": 3.28, "T9_C": 1.736, "T10_C": 2.1, "T11_C": 1.696, "T12_C": 2.16, "T13_C": 2.68, "T14_C": 1.47}
[2025-08-23 21:50:15] Marseille vs Paris - C Values: {"T1_C": 2.225, "T2_C": 2.32, "T3_C": 5.8, "T4_C": 1.155, "T5_C": 1.625, "T6_C": 1.675, "T7_C": 1.336, "T8_C": 3.28, "T9_C": 1.736, "T10_C": 2.1, "T11_C": 1.696, "T12_C": 2.16, "T13_C": 2.68, "T14_C": 1.47}
[2025-08-23 21:50:21] Marseille vs Paris - C Values: {"T1_C": 2.192, "T2_C": 2.34, "T3_C": 5.85, "T4_C": 1.152, "T5_C": 1.616, "T6_C": 1.69, "T7_C": 1.336, "T8_C": 3.28, "T9_C": 1.72, "T10_C": 2.12, "T11_C": 1.64, "T12_C": 2.26, "T13_C": 2.68, "T14_C": 1.47}
[2025-08-23 21:50:35] Marseille vs Paris - C Values: {"T1_C": 2.168, "T2_C": 2.384, "T3_C": 5.8, "T4_C": 1.155, "T5_C": 1.595, "T6_C": 1.705, "T7_C": 1.31, "T8_C": 3.44, "T9_C": 1.72, "T10_C": 2.12, "T11_C": 1.64, "T12_C": 2.26, "T13_C": 2.68, "T14_C": 1.47}
[2025-08-23 21:50:56] Marseille vs Paris - C Values: {"T1_C": 2.225, "T2_C": 2.32, "T3_C": 5.8, "T4_C": 1.155, "T5_C": 1.625, "T6_C": 1.675, "T7_C": 1.336, "T8_C": 3.28, "T9_C": 1.736, "T10_C": 2.1, "T11_C": 1.696, "T12_C": 2.16, "T13_C": 2.68, "T14_C": 1.47}
[2025-08-23 21:51:22] Marseille vs Paris - C Values: {"T1_C": 2.225, "T2_C": 2.32, "T3_C": 5.8, "T4_C": 1.155, "T5_C": 1.625, "T6_C": 1.675, "T7_C": 1.31, "T8_C": 3.44, "T9_C": 1.752, "T10_C": 2.075, "T11_C": 1.696, "T12_C": 2.16, "T13_C": 2.68, "T14_C": 1.47}
[2025-08-23 21:51:34] Marseille vs Paris - C Values: {"T1_C": 2.225, "T2_C": 2.32, "T3_C": 5.8, "T4_C": 1.155, "T5_C": 1.625, "T6_C": 1.675, "T7_C": 1.31, "T8_C": 3.44, "T9_C": 1.775, "T10_C": 2.048, "T11_C": 1.696, "T12_C": 2.16, "T13_C": 2.68, "T14_C": 1.47}
[2025-08-23 21:51:54] Marseille vs Paris - C Values: {"T1_C": 2.165, "T2_C": 2.31, "T3_C": 6.3, "T4_C": 1.14, "T5_C": 1.63, "T6_C": 1.705, "T7_C": 1.31, "T8_C": 3.44, "T9_C": 1.752, "T10_C": 2.075, "T11_C": 1.696, "T12_C": 2.16, "T13_C": 2.89, "T14_C": 1.416}
[2025-08-23 21:52:07] Marseille vs Paris - C Values: {"T1_C": 2.165, "T2_C": 2.31, "T3_C": 6.3, "T4_C": 1.14, "T5_C": 1.63, "T6_C": 1.705, "T7_C": 1.31, "T8_C": 3.44, "T9_C": 1.775, "T10_C": 2.048, "T11_C": 1.696, "T12_C": 2.16, "T13_C": 2.89, "T14_C": 1.416}
[2025-08-23 21:52:13] Marseille vs Paris - C Values: {"T1_C": 2.16, "T2_C": 2.304, "T3_C": 6.4, "T4_C": 1.136, "T5_C": 1.63, "T6_C": 1.71, "T7_C": 1.305, "T8_C": 3.48, "T9_C": 1.775, "T10_C": 2.048, "T11_C": 1.696, "T12_C": 2.16, "T13_C": 2.89, "T14_C": 1.416}
[2025-08-23 21:52:27] Marseille vs Paris - C Values: {"T1_C": 2.16, "T2_C": 2.304, "T3_C": 6.4, "T4_C": 1.136, "T5_C": 1.63, "T6_C": 1.71, "T7_C": 1.305, "T8_C": 3.48, "T9_C": 1.99, "T10_C": 1.816, "T11_C": 1.865, "T12_C": 1.936, "T13_C": 3.232, "T14_C": 1.344}
