[2025-08-23 22:13:42] Genoa vs Lecce - C Values: {"T1_C": 2.064, "T2_C": 3.125, "T3_C": 4.02, "T4_C": 1.26, "T5_C": 1.384, "T6_C": 1.775, "T7_C": 1.464, "T8_C": 2.704, "T9_C": 2.144, "T10_C": 1.704, "T11_C": 1.744, "T12_C": 2.09, "T13_C": 1.77, "T14_C": 2.05, "T180_C": 2.22, "T181_C": 1.66}
[2025-08-23 22:14:00] Genoa vs Lecce - C Values: {"T1_C": 2.064, "T2_C": 3.125, "T3_C": 4.02, "T4_C": 1.26, "T5_C": 1.384, "T6_C": 1.775, "T7_C": 1.464, "T8_C": 2.704, "T9_C": 2.184, "T10_C": 1.68, "T11_C": 1.744, "T12_C": 2.09, "T13_C": 1.77, "T14_C": 2.05, "T180_C": 2.22, "T181_C": 1.66}
[2025-08-23 22:14:38] Genoa vs Lecce - C Values: {"T1_C": 2.064, "T2_C": 3.125, "T3_C": 4.02, "T4_C": 1.26, "T5_C": 1.384, "T6_C": 1.775, "T7_C": 1.464, "T8_C": 2.704, "T9_C": 2.184, "T10_C": 1.68, "T11_C": 1.744, "T12_C": 2.09, "T13_C": 1.77, "T14_C": 2.05, "T180_C": 2.33, "T181_C": 1.605}
[2025-08-23 22:14:51] Genoa vs Lecce - C Values: {"T1_C": 2.064, "T2_C": 3.125, "T3_C": 4.02, "T4_C": 1.26, "T5_C": 1.384, "T6_C": 1.775, "T7_C": 1.44, "T8_C": 2.78, "T9_C": 2.23, "T10_C": 1.656, "T11_C": 1.744, "T12_C": 2.09, "T13_C": 1.77, "T14_C": 2.05, "T180_C": 2.33, "T181_C": 1.605}
[2025-08-23 22:14:56] Genoa vs Lecce - C Values: {"T1_C": 2.112, "T2_C": 3.02, "T3_C": 4.02, "T4_C": 1.26, "T5_C": 1.405, "T6_C": 1.74, "T7_C": 1.464, "T8_C": 2.704, "T9_C": 1.704, "T10_C": 2.144, "T11_C": 1.86, "T12_C": 1.94, "T13_C": 1.77, "T14_C": 2.05, "T180_C": 2.435, "T181_C": 1.555}
[2025-08-23 22:15:02] Genoa vs Lecce - C Values: {"T1_C": 2.085, "T2_C": 3.05, "T3_C": 4.06, "T4_C": 1.26, "T5_C": 1.395, "T6_C": 1.76, "T7_C": 1.44, "T8_C": 2.78, "T9_C": 1.704, "T10_C": 2.144, "T11_C": 1.845, "T12_C": 1.96, "T13_C": 1.845, "T14_C": 1.955, "T180_C": 2.435, "T181_C": 1.555}
[2025-08-23 22:15:32] Genoa vs Lecce - C Values: {"T1_C": 2.112, "T2_C": 3.02, "T3_C": 4.02, "T4_C": 1.26, "T5_C": 1.405, "T6_C": 1.74, "T7_C": 1.464, "T8_C": 2.704, "T9_C": 1.704, "T10_C": 2.144, "T11_C": 1.86, "T12_C": 1.94, "T13_C": 1.77, "T14_C": 2.05, "T180_C": 2.435, "T181_C": 1.555}
[2025-08-23 22:15:38] Genoa vs Lecce - C Values: {"T1_C": 2.112, "T2_C": 3.02, "T3_C": 4.02, "T4_C": 1.26, "T5_C": 1.405, "T6_C": 1.74, "T7_C": 1.464, "T8_C": 2.704, "T9_C": 1.704, "T10_C": 2.144, "T11_C": 1.85, "T12_C": 1.952, "T13_C": 1.845, "T14_C": 1.955, "T180_C": 2.435, "T181_C": 1.555}
[2025-08-23 22:15:56] Genoa vs Lecce - C Values: {"T1_C": 2.112, "T2_C": 3.02, "T3_C": 4.02, "T4_C": 1.26, "T5_C": 1.405, "T6_C": 1.74, "T7_C": 1.44, "T8_C": 2.78, "T9_C": 1.704, "T10_C": 2.144, "T11_C": 1.87, "T12_C": 1.93, "T13_C": 1.845, "T14_C": 1.955, "T180_C": 2.435, "T181_C": 1.555}
[2025-08-23 22:16:21] Genoa vs Lecce - C Values: {"T1_C": 2.112, "T2_C": 3.02, "T3_C": 4.02, "T4_C": 1.26, "T5_C": 1.405, "T6_C": 1.74, "T7_C": 1.464, "T8_C": 2.704, "T9_C": 1.704, "T10_C": 2.144, "T11_C": 1.896, "T12_C": 1.904, "T13_C": 1.845, "T14_C": 1.955, "T180_C": 2.435, "T181_C": 1.555}
[2025-08-23 22:16:34] Genoa vs Lecce - C Values: {"T1_C": 2.085, "T2_C": 3.05, "T3_C": 4.06, "T4_C": 1.26, "T5_C": 1.395, "T6_C": 1.76, "T7_C": 1.44, "T8_C": 2.78, "T9_C": 1.704, "T10_C": 2.144, "T11_C": 1.825, "T12_C": 1.98, "T13_C": 1.845, "T14_C": 1.955, "T180_C": 2.435, "T181_C": 1.555}
[2025-08-23 22:16:40] Genoa vs Lecce - C Values: {"T1_C": 2.112, "T2_C": 3.02, "T3_C": 4.02, "T4_C": 1.26, "T5_C": 1.405, "T6_C": 1.74, "T7_C": 1.464, "T8_C": 2.704, "T9_C": 1.704, "T10_C": 2.144, "T11_C": 1.855, "T12_C": 1.95, "T13_C": 1.845, "T14_C": 1.955, "T180_C": 2.435, "T181_C": 1.555}
[2025-08-23 22:16:52] Genoa vs Lecce - C Values: {"T1_C": 2.112, "T2_C": 3.02, "T3_C": 4.02, "T4_C": 1.26, "T5_C": 1.405, "T6_C": 1.74, "T7_C": 1.464, "T8_C": 2.704, "T9_C": 1.704, "T10_C": 2.144, "T11_C": 1.896, "T12_C": 1.904, "T13_C": 1.845, "T14_C": 1.955, "T180_C": 2.435, "T181_C": 1.555}
[2025-08-23 22:16:59] Genoa vs Lecce - C Values: {"T1_C": 2.05, "T2_C": 3, "T3_C": 4.32, "T4_C": 1.235, "T5_C": 1.41, "T6_C": 1.784, "T7_C": 1.44, "T8_C": 2.78, "T9_C": 1.704, "T10_C": 2.144, "T11_C": 1.88, "T12_C": 1.92, "T13_C": 1.845, "T14_C": 1.955, "T180_C": 2.435, "T181_C": 1.555}
[2025-08-23 22:17:04] Genoa vs Lecce - C Values: {"T1_C": 2.112, "T2_C": 3.02, "T3_C": 4.02, "T4_C": 1.26, "T5_C": 1.405, "T6_C": 1.74, "T7_C": 1.44, "T8_C": 2.78, "T9_C": 1.775, "T10_C": 2.048, "T11_C": 1.888, "T12_C": 1.912, "T13_C": 1.845, "T14_C": 1.955, "T180_C": 2.435, "T181_C": 1.555}
[2025-08-23 22:17:17] Genoa vs Lecce - C Values: {"T1_C": 2.112, "T2_C": 3.02, "T3_C": 4.02, "T4_C": 1.26, "T5_C": 1.405, "T6_C": 1.74, "T7_C": 1.464, "T8_C": 2.704, "T9_C": 1.775, "T10_C": 2.048, "T11_C": 1.91, "T12_C": 1.89, "T13_C": 1.845, "T14_C": 1.955, "T180_C": 2.435, "T181_C": 1.555}
[2025-08-23 22:17:34] Genoa vs Lecce - C Values: {"T1_C": 2.112, "T2_C": 3.02, "T3_C": 4.02, "T4_C": 1.26, "T5_C": 1.405, "T6_C": 1.74, "T7_C": 1.464, "T8_C": 2.704, "T9_C": 1.775, "T10_C": 2.048, "T11_C": 1.93, "T12_C": 1.87, "T13_C": 1.845, "T14_C": 1.955, "T180_C": 2.435, "T181_C": 1.555}
[2025-08-23 22:18:04] Genoa vs Lecce - C Values: {"T1_C": 2.144, "T2_C": 2.93, "T3_C": 4.08, "T4_C": 1.256, "T5_C": 1.42, "T6_C": 1.72, "T7_C": 1.464, "T8_C": 2.704, "T9_C": 1.775, "T10_C": 2.048, "T11_C": 1.944, "T12_C": 1.856, "T13_C": 1.845, "T14_C": 1.955, "T180_C": 2.575, "T181_C": 1.504}
[2025-08-23 22:18:41] Genoa vs Lecce - C Values: {"T1_C": 2.144, "T2_C": 2.93, "T3_C": 4.08, "T4_C": 1.256, "T5_C": 1.42, "T6_C": 1.72, "T7_C": 1.464, "T8_C": 2.704, "T9_C": 1.775, "T10_C": 2.048, "T11_C": 1.965, "T12_C": 1.84, "T13_C": 1.9, "T14_C": 1.9, "T180_C": 2.575, "T181_C": 1.504}
[2025-08-23 22:19:10] Genoa vs Lecce - C Values: {"T1_C": 2.2, "T2_C": 2.875, "T3_C": 3.98, "T4_C": 1.264, "T5_C": 1.435, "T6_C": 1.688, "T7_C": 1.49, "T8_C": 2.625, "T9_C": 1.775, "T10_C": 2.048, "T11_C": 1.984, "T12_C": 1.825, "T13_C": 1.845, "T14_C": 1.955, "T180_C": 2.575, "T181_C": 1.504}
[2025-08-23 22:19:15] Genoa vs Lecce - C Values: {"T1_C": 2.144, "T2_C": 2.93, "T3_C": 4.08, "T4_C": 1.256, "T5_C": 1.42, "T6_C": 1.72, "T7_C": 1.464, "T8_C": 2.704, "T9_C": 1.775, "T10_C": 2.048, "T11_C": 1.965, "T12_C": 1.84, "T13_C": 1.9, "T14_C": 1.9, "T180_C": 2.575, "T181_C": 1.504}
[2025-08-23 22:19:21] Genoa vs Lecce - C Values: {"T1_C": 2.2, "T2_C": 2.875, "T3_C": 3.98, "T4_C": 1.264, "T5_C": 1.435, "T6_C": 1.688, "T7_C": 1.49, "T8_C": 2.625, "T9_C": 1.775, "T10_C": 2.048, "T11_C": 1.984, "T12_C": 1.825, "T13_C": 1.845, "T14_C": 1.955, "T180_C": 2.575, "T181_C": 1.504}
[2025-08-23 22:19:34] Genoa vs Lecce - C Values: {"T1_C": 2.2, "T2_C": 2.875, "T3_C": 3.98, "T4_C": 1.264, "T5_C": 1.435, "T6_C": 1.688, "T7_C": 1.464, "T8_C": 2.704, "T9_C": 1.85, "T10_C": 1.95, "T11_C": 2.12, "T12_C": 1.72, "T13_C": 1.9, "T14_C": 1.9, "T180_C": 2.575, "T181_C": 1.504}
[2025-08-23 22:20:13] Genoa vs Lecce - C Values: {"T1_C": 2.2, "T2_C": 2.875, "T3_C": 3.98, "T4_C": 1.264, "T5_C": 1.435, "T6_C": 1.688, "T7_C": 1.464, "T8_C": 2.704, "T9_C": 1.85, "T10_C": 1.95, "T11_C": 2.12, "T12_C": 1.72, "T13_C": 1.9, "T14_C": 1.9, "T180_C": 2.71, "T181_C": 1.464}
