[2025-08-23 22:16:03] Sassuolo vs Napoli - C Values: {"T1_C": 6.35, "T2_C": 3.42, "T3_C": 1.656, "T4_C": 2.24, "T5_C": 1.335, "T6_C": 1.136, "T7_C": 1.664, "T8_C": 2.21, "T9_C": 1.77, "T10_C": 2.05, "T11_C": 1.855, "T12_C": 1.945, "T13_C": 1.95, "T14_C": 1.85, "T180_C": 2.22, "T181_C": 1.66}
[2025-08-23 22:17:10] Sassuolo vs Napoli - C Values: {"T1_C": 6.35, "T2_C": 3.42, "T3_C": 1.656, "T4_C": 2.24, "T5_C": 1.335, "T6_C": 1.136, "T7_C": 1.664, "T8_C": 2.21, "T9_C": 1.785, "T10_C": 2.025, "T11_C": 1.91, "T12_C": 1.89, "T13_C": 1.95, "T14_C": 1.85, "T180_C": 2.33, "T181_C": 1.605}
[2025-08-23 22:17:47] Sassuolo vs Napoli - C Values: {"T1_C": 18, "T2_C": 6.25, "T3_C": 1.19, "T4_C": 4.69, "T5_C": 1.14, "T6_C": 1.02, "T7_C": 2.085, "T8_C": 1.744, "T9_C": 1.785, "T10_C": 2.025, "T11_C": 1.784, "T12_C": 2.03, "T13_C": 2.136, "T14_C": 1.71, "T180_C": 1.784, "T181_C": 2.03}
[2025-08-23 22:17:58] Sassuolo vs Napoli - C Values: {"T1_C": 21, "T2_C": 7, "T3_C": 1.155, "T4_C": 5.31, "T5_C": 1.12, "T6_C": 1.016, "T7_C": 2.225, "T8_C": 1.656, "T9_C": 1.735, "T10_C": 2.1, "T11_C": 1.784, "T12_C": 2.03, "T13_C": 1.95, "T14_C": 1.85, "T180_C": 1.784, "T181_C": 2.03}
[2025-08-23 22:18:23] Sassuolo vs Napoli - C Values: {"T1_C": 21, "T2_C": 7, "T3_C": 1.155, "T4_C": 5.31, "T5_C": 1.12, "T6_C": 1.016, "T7_C": 2.145, "T8_C": 1.704, "T9_C": 1.83, "T10_C": 1.975, "T11_C": 1.784, "T12_C": 2.03, "T13_C": 2.045, "T14_C": 1.775, "T180_C": 1.784, "T181_C": 2.03}
[2025-08-23 22:18:41] Sassuolo vs Napoli - C Values: {"T1_C": 17, "T2_C": 6.45, "T3_C": 1.19, "T4_C": 4.69, "T5_C": 1.135, "T6_C": 1.025, "T7_C": 2.055, "T8_C": 1.768, "T9_C": 1.83, "T10_C": 1.975, "T11_C": 1.744, "T12_C": 2.09, "T13_C": 2.136, "T14_C": 1.71, "T180_C": 1.744, "T181_C": 2.09}
[2025-08-23 22:19:10] Sassuolo vs Napoli - C Values: {"T1_C": 17, "T2_C": 6.45, "T3_C": 1.19, "T4_C": 4.69, "T5_C": 1.135, "T6_C": 1.025, "T7_C": 2.055, "T8_C": 1.768, "T9_C": 1.856, "T10_C": 1.944, "T11_C": 1.784, "T12_C": 2.03, "T13_C": 2.2, "T14_C": 1.67, "T180_C": 1.784, "T181_C": 2.03}
[2025-08-23 22:19:15] Sassuolo vs Napoli - C Values: {"T1_C": 17, "T2_C": 6.45, "T3_C": 1.19, "T4_C": 4.69, "T5_C": 1.135, "T6_C": 1.025, "T7_C": 2.025, "T8_C": 1.785, "T9_C": 1.885, "T10_C": 1.915, "T11_C": 1.744, "T12_C": 2.09, "T13_C": 2.2, "T14_C": 1.67, "T180_C": 1.744, "T181_C": 2.09}
[2025-08-23 22:19:21] Sassuolo vs Napoli - C Values: {"T1_C": 17, "T2_C": 6.45, "T3_C": 1.19, "T4_C": 4.69, "T5_C": 1.135, "T6_C": 1.025, "T7_C": 2.025, "T8_C": 1.785, "T9_C": 1.856, "T10_C": 1.944, "T11_C": 1.744, "T12_C": 2.09, "T13_C": 2.2, "T14_C": 1.67, "T180_C": 1.744, "T181_C": 2.09}
[2025-08-23 22:19:28] Sassuolo vs Napoli - C Values: {"T1_C": 17, "T2_C": 6.45, "T3_C": 1.19, "T4_C": 4.69, "T5_C": 1.135, "T6_C": 1.025, "T7_C": 2.025, "T8_C": 1.785, "T9_C": 1.885, "T10_C": 1.915, "T11_C": 1.744, "T12_C": 2.09, "T13_C": 2.2, "T14_C": 1.67, "T180_C": 1.744, "T181_C": 2.09}
[2025-08-23 22:19:40] Sassuolo vs Napoli - C Values: {"T1_C": 18, "T2_C": 6.25, "T3_C": 1.19, "T4_C": 4.69, "T5_C": 1.14, "T6_C": 1.02, "T7_C": 2.055, "T8_C": 1.768, "T9_C": 1.885, "T10_C": 1.915, "T11_C": 1.784, "T12_C": 2.03, "T13_C": 2.2, "T14_C": 1.67, "T180_C": 1.784, "T181_C": 2.03}
[2025-08-23 22:20:13] Sassuolo vs Napoli - C Values: {"T1_C": 17, "T2_C": 6.45, "T3_C": 1.19, "T4_C": 4.69, "T5_C": 1.135, "T6_C": 1.025, "T7_C": 2.025, "T8_C": 1.785, "T9_C": 1.885, "T10_C": 1.915, "T11_C": 1.744, "T12_C": 2.09, "T13_C": 2.2, "T14_C": 1.67, "T180_C": 1.744, "T181_C": 2.09}
[2025-08-23 22:20:56] Sassuolo vs Napoli - C Values: {"T1_C": 15, "T2_C": 6, "T3_C": 1.22, "T4_C": 4.3, "T5_C": 1.145, "T6_C": 1.035, "T7_C": 1.95, "T8_C": 1.85, "T9_C": 1.912, "T10_C": 1.888, "T11_C": 1.744, "T12_C": 2.09, "T13_C": 2.2, "T14_C": 1.67, "T180_C": 1.744, "T181_C": 2.09}
[2025-08-23 22:21:01] Sassuolo vs Napoli - C Values: {"T1_C": 15, "T2_C": 6, "T3_C": 1.22, "T4_C": 4.3, "T5_C": 1.145, "T6_C": 1.035, "T7_C": 1.95, "T8_C": 1.85, "T9_C": 1.94, "T10_C": 1.86, "T11_C": 1.784, "T12_C": 2.03, "T13_C": 2.305, "T14_C": 1.616, "T180_C": 1.784, "T181_C": 2.03}
[2025-08-23 22:21:07] Sassuolo vs Napoli - C Values: {"T1_C": 15, "T2_C": 6, "T3_C": 1.215, "T4_C": 4.36, "T5_C": 1.145, "T6_C": 1.03, "T7_C": 2, "T8_C": 1.808, "T9_C": 1.94, "T10_C": 1.86, "T11_C": 1.784, "T12_C": 2.03, "T13_C": 2.305, "T14_C": 1.616, "T180_C": 1.784, "T181_C": 2.03}
[2025-08-23 22:21:13] Sassuolo vs Napoli - C Values: {"T1_C": 17, "T2_C": 6.45, "T3_C": 1.19, "T4_C": 4.69, "T5_C": 1.135, "T6_C": 1.025, "T7_C": 2, "T8_C": 1.808, "T9_C": 1.975, "T10_C": 1.83, "T11_C": 1.784, "T12_C": 2.03, "T13_C": 2.305, "T14_C": 1.616, "T180_C": 1.784, "T181_C": 2.03}
[2025-08-23 22:21:32] Sassuolo vs Napoli - C Values: {"T1_C": 18, "T2_C": 6.25, "T3_C": 1.19, "T4_C": 4.69, "T5_C": 1.14, "T6_C": 1.02, "T7_C": 2, "T8_C": 1.808, "T9_C": 2.12, "T10_C": 1.72, "T11_C": 1.784, "T12_C": 2.03, "T13_C": 1.61, "T14_C": 2.32, "T180_C": 1.784, "T181_C": 2.03}
[2025-08-23 22:21:52] Sassuolo vs Napoli - C Values: {"T1_C": 18, "T2_C": 6.25, "T3_C": 1.19, "T4_C": 4.69, "T5_C": 1.14, "T6_C": 1.02, "T7_C": 2, "T8_C": 1.808, "T9_C": 2.165, "T10_C": 1.69, "T11_C": 1.855, "T12_C": 1.945, "T13_C": 1.61, "T14_C": 2.32, "T180_C": 1.855, "T181_C": 1.945}
[2025-08-23 22:22:23] Sassuolo vs Napoli - C Values: {"T1_C": 18, "T2_C": 6.25, "T3_C": 1.19, "T4_C": 4.69, "T5_C": 1.14, "T6_C": 1.02, "T7_C": 1.975, "T8_C": 1.83, "T9_C": 2.165, "T10_C": 1.69, "T11_C": 1.784, "T12_C": 2.03, "T13_C": 1.61, "T14_C": 2.32, "T180_C": 1.784, "T181_C": 2.03}
[2025-08-23 22:22:43] Sassuolo vs Napoli - C Values: {"T1_C": 18, "T2_C": 6.25, "T3_C": 1.19, "T4_C": 4.69, "T5_C": 1.14, "T6_C": 1.02, "T7_C": 1.975, "T8_C": 1.83, "T9_C": 2.165, "T10_C": 1.696, "T11_C": 1.855, "T12_C": 1.945, "T13_C": 1.61, "T14_C": 2.32, "T180_C": 1.855, "T181_C": 1.945}
[2025-08-23 22:22:56] Sassuolo vs Napoli - C Values: {"T1_C": 19, "T2_C": 6.1, "T3_C": 1.19, "T4_C": 4.68, "T5_C": 1.144, "T6_C": 1.02, "T7_C": 1.95, "T8_C": 1.85, "T9_C": 2.165, "T10_C": 1.696, "T11_C": 1.855, "T12_C": 1.945, "T13_C": 1.61, "T14_C": 2.32, "T180_C": 1.855, "T181_C": 1.945}
[2025-08-23 22:23:02] Sassuolo vs Napoli - C Values: {"T1_C": 18, "T2_C": 6.25, "T3_C": 1.19, "T4_C": 4.69, "T5_C": 1.14, "T6_C": 1.02, "T7_C": 1.975, "T8_C": 1.83, "T9_C": 2.165, "T10_C": 1.696, "T11_C": 1.855, "T12_C": 1.945, "T13_C": 1.61, "T14_C": 2.32, "T180_C": 1.855, "T181_C": 1.945}
[2025-08-23 22:23:46] Sassuolo vs Napoli - C Values: {"T1_C": 18, "T2_C": 6.25, "T3_C": 1.19, "T4_C": 4.69, "T5_C": 1.14, "T6_C": 1.02, "T7_C": 1.95, "T8_C": 1.85, "T9_C": 2.165, "T10_C": 1.696, "T11_C": 1.855, "T12_C": 1.945, "T13_C": 1.61, "T14_C": 2.32, "T180_C": 1.855, "T181_C": 1.945}
[2025-08-23 22:24:16] Sassuolo vs Napoli - C Values: {"T1_C": 18, "T2_C": 6.25, "T3_C": 1.19, "T4_C": 4.69, "T5_C": 1.14, "T6_C": 1.02, "T7_C": 1.95, "T8_C": 1.85, "T9_C": 2.208, "T10_C": 1.665, "T11_C": 1.855, "T12_C": 1.945, "T13_C": 1.67, "T14_C": 2.195, "T180_C": 1.855, "T181_C": 1.945}
[2025-08-23 22:24:41] Sassuolo vs Napoli - C Values: {"T1_C": 18, "T2_C": 6.25, "T3_C": 1.19, "T4_C": 4.69, "T5_C": 1.14, "T6_C": 1.02, "T7_C": 1.975, "T8_C": 1.83, "T9_C": 2.208, "T10_C": 1.665, "T11_C": 1.93, "T12_C": 1.87, "T13_C": 1.61, "T14_C": 2.32, "T180_C": 1.93, "T181_C": 1.87}
[2025-08-23 22:24:46] Sassuolo vs Napoli - C Values: {"T1_C": 18, "T2_C": 6.25, "T3_C": 1.19, "T4_C": 4.69, "T5_C": 1.14, "T6_C": 1.02, "T7_C": 1.95, "T8_C": 1.85, "T9_C": 2.208, "T10_C": 1.665, "T11_C": 1.855, "T12_C": 1.945, "T13_C": 1.67, "T14_C": 2.195, "T180_C": 1.855, "T181_C": 1.945}
[2025-08-23 22:25:17] Sassuolo vs Napoli - C Values: {"T1_C": 18, "T2_C": 6.25, "T3_C": 1.19, "T4_C": 4.69, "T5_C": 1.14, "T6_C": 1.02, "T7_C": 1.95, "T8_C": 1.85, "T9_C": 1.64, "T10_C": 2.256, "T11_C": 1.93, "T12_C": 1.87, "T13_C": 1.67, "T14_C": 2.195, "T180_C": 1.93, "T181_C": 1.87}
[2025-08-23 22:25:59] Sassuolo vs Napoli - C Values: {"T1_C": 18, "T2_C": 6.25, "T3_C": 1.19, "T4_C": 4.69, "T5_C": 1.14, "T6_C": 1.02, "T7_C": 1.95, "T8_C": 1.85, "T9_C": 1.7, "T10_C": 2.152, "T11_C": 1.93, "T12_C": 1.87, "T13_C": 1.67, "T14_C": 2.195, "T180_C": 1.93, "T181_C": 1.87}
[2025-08-23 22:28:02] Sassuolo vs Napoli - C Values: {"T1_C": 18, "T2_C": 6.25, "T3_C": 1.19, "T4_C": 4.69, "T5_C": 1.14, "T6_C": 1.02, "T7_C": 1.92, "T8_C": 1.88, "T9_C": 1.7, "T10_C": 2.152, "T11_C": 1.93, "T12_C": 1.87, "T13_C": 1.67, "T14_C": 2.195, "T180_C": 1.93, "T181_C": 1.87}
[2025-08-23 22:28:27] Sassuolo vs Napoli - C Values: {"T1_C": 16, "T2_C": 5.85, "T3_C": 1.215, "T4_C": 4.36, "T5_C": 1.15, "T6_C": 1.03, "T7_C": 1.87, "T8_C": 1.93, "T9_C": 1.64, "T10_C": 2.256, "T11_C": 1.784, "T12_C": 2.03, "T13_C": 1.67, "T14_C": 2.195, "T180_C": 1.784, "T181_C": 2.03}
[2025-08-23 22:28:39] Sassuolo vs Napoli - C Values: {"T1_C": 19, "T2_C": 6.1, "T3_C": 1.19, "T4_C": 4.68, "T5_C": 1.144, "T6_C": 1.02, "T7_C": 1.896, "T8_C": 1.9, "T9_C": 1.7, "T10_C": 2.152, "T11_C": 1.93, "T12_C": 1.87, "T13_C": 1.67, "T14_C": 2.195, "T180_C": 1.93, "T181_C": 1.87}
[2025-08-23 22:29:22] Sassuolo vs Napoli - C Values: {"T1_C": 16, "T2_C": 5.85, "T3_C": 1.215, "T4_C": 4.36, "T5_C": 1.15, "T6_C": 1.03, "T7_C": 1.87, "T8_C": 1.93, "T9_C": 1.7, "T10_C": 2.152, "T11_C": 1.855, "T12_C": 1.945, "T13_C": 1.67, "T14_C": 2.195, "T180_C": 1.855, "T181_C": 1.945}
[2025-08-23 22:29:34] Sassuolo vs Napoli - C Values: {"T1_C": 18, "T2_C": 5.7, "T3_C": 1.215, "T4_C": 4.36, "T5_C": 1.16, "T6_C": 1.025, "T7_C": 1.87, "T8_C": 1.93, "T9_C": 1.7, "T10_C": 2.152, "T11_C": 1.855, "T12_C": 1.945, "T13_C": 1.67, "T14_C": 2.195, "T180_C": 1.855, "T181_C": 1.945}
